Restaurants Type,id,name,city,avgRating,cuisines,costForTwoStrings,deliveryTime,minDeliveryTime,maxDeliveryTime,locality,unserviceable,Vegetarian
Fine,5297,Le Plaisir,Pune,4.5,"['Italian','Continental','European','Desserts']",1000,40,40,40,Prabhat Road Deccan,False,False
Fine,418950,Malabar Restaurant,Pune,0.0,['Indian'],300,36,36,36,Camp,False,False
Fine,375337,Hotel Buff Special,Pune,4.5,"['North,Indian']",300,39,39,39,Camp,False,False
Fine,375326,Hotel Zamzam,Pune,4.1,"['North,Indian','Chinese']",300,38,38,38,Camp,False,False
Fine,375322,Hotel Shamiaana,Pune,0.0,"['North,Indian']",300,36,36,36,Camp,False,False
Fine,375321,Hotel Bismillah,Pune,4.2,"['North,Indian']",300,36,36,36,Camp,False,False
Fine,375329,Hotel New Star,Pune,0.0,"['North,Indian']",300,36,36,36,Camp,False,False
Fine,219909,Nanumal Bhojraj Sweets,Pune,0.0,['Sweets'],350,39,39,39,Swargate,False,True
Fine,378117,Chocolate Biclate,Pune,4.3,"['Bakery','Desserts','Beverages']",250,46,46,46,Shivaji Nagar,False,False
Fine,14439,Saffron Vegetarian,Pune,4.3,"['North,Indian','Chinese','South,Indian','Fast,Food']",500,40,40,40,Sadashiv Peth Lal Bahadur Shastri Road,False,True
Fine,322524,Chinese Kitchen,Pune,0.0,"['North,Indian','Chinese']",300,39,39,39,Camp,False,False
Fine,419093,Kerala House,Pune,4.2,"['Indian','Chinese']",300,38,38,38,Camp,False,False
Fine,228565,Subhanallah Biryani House,Pune,3.8,"['Biryani','Chinese','North,Indian','Mughlai','Fast,Food','Beverages']",200,40,40,40,Camp,False,False
Fine,436610,Irani Cafe,Pune,4.3,"['Bakery','Snacks','Desserts','Beverages']",200,32,32,32,Camp,False,False
Fine,434241,Chatori Dilli,Pune,0.0,"['Fast,Food']",250,41,41,41,Camp,False,True
Fine,394705,Cheesiano Pizza(Law College),Pune,3.9,"['North,Indian','Pizzas','Pastas']",300,48,48,48,Kothrud,False,False
Fine,276557,Asia Kitchen By Mainland China,Pune,4.5,"['Asian','Chinese','Oriental']",850,55,55,55,Pyramid Mall,False,False
Fine,59883,Mankar Dosa,Pune,4.0,"['South,Indian','Fast,Food']",200,47,47,47,Satara Road,False,True
Fine,21892,Abhishek Non Veg Restaurant,Pune,4.3,"['North,Indian','Chinese','Seafood']",800,40,40,40,Erandwane,False,False
Fine,441131,Merwans Cake Stop,Pune,4.1,"['Bakery','Desserts']",400,40,40,40,Camp,False,False
Fine,382691,Gourmet Ice Cream Cakes by Baskin Robbins,Pune,0.0,"['Desserts','Ice,Cream','Bakery']",250,36,36,36,Camp,False,True
Fine,106058,Fit Food Company,Pune,4.2,"['Healthy,Food','Salads','Continental','Juices','Seafood','Beverages']",500,45,45,45,Deccan Tower,False,False
Fine,71694,The Betel Leaf - Paan and Desserts,Pune,4.8,"['Paan','Desserts']",300,45,45,45,Karve Nagar,False,True
Fine,70946,Shaukeen - The Complete Paan Shop,Pune,4.7,['Desserts'],150,34,34,34,Erandwane,False,True
Fine,134785,Anna Idli,Pune,4.0,"['South,Indian']",300,37,37,37,Koregaon Park,False,True
Fine,16275,Taste Of Hyderabad,Pune,3.8,"['Biryani','Hyderabadi','North,Indian','Chinese','Beverages']",350,37,37,37,DP Road,False,False
Fine,296177,Kapila Kathi Kebab,Pune,4.4,"['Fast,Food']",250,35,35,35,Koregaon Park,False,False
Fine,138163,Cafe Rudra,Pune,0.0,"['Fast,Food']",200,47,47,47,Shivaji Nagar,False,True
Fine,44272,Fantasy Juice Bar & Snacks,Pune,0.0,['Juices'],250,47,47,47,BUNDGARDEN ROAD,False,True
Fine,20702,Supreme Snacks,Pune,4.2,"['Fast,Food']",400,47,47,47,Khilare Patil Road,False,True
Fine,20154,Nisarg,Pune,4.4,"['North,Indian','Seafood','Malwani']",1200,48,48,48,Opposite Padale Palace,False,False
Fine,98288,Aufside @ Hotfut,Pune,4.4,"['North,Indian','Continental','American','Fast,Food','Chinese','Pizzas','Desserts']",400,53,53,53,Swargate,False,False
Fine,52055,The Veg Culture,Pune,0.0,"['North,Indian','Continental','Italian','Mexican','Lebanese']",400,52,52,52,Kumar Pacific Mall,False,True
Fine,132379,Hotel Annapurna Tarangan,Pune,4.2,['Maharashtrian'],150,52,52,52,OPP. BSNL Telephonic Exchange,False,True
Fine,21751,Tales & Spirits,Pune,4.1,"['Italian','Continental']",600,49,49,49,Shivaji Housing Society,False,True
Fine,296289,Spice kitchen  JW Marriott Pune,Pune,4.3,"['Indian','Continental']",1000,56,56,56,SENAPATI BAPAT ROAD,False,False
Fine,340132,Mad Over Donuts,Pune,4.1,"['Desserts','Sweets','Bakery']",200,38,38,38,Erandwane,False,False
Fine,348887,Big Bowl Company,Pune,3.7,"['North,Indian','Chinese','Biryani','Fast,Food']",300,49,49,49,Swargate,False,False
Fine,437416,Pizza hut Express,Pune,0.0,['Pizzas'],300,47,47,47,Shivaji Nagar,False,False
Fine,14164,Krishna Dining,Pune,4.4,['Maharashtrian'],600,38,38,38,Law College Road,False,True
Fine,319974,Jose & Isabella's Italian Pizza,Pune,0.0,['Italian'],300,50,50,50,Kothrud,False,False
